Tajuk Perolehan,Kategori Perolehan,Kementerian,Agensi,Nama Syarikat,Nilai Perolehan,Kriteria Rundingan Terus,Tarikh
PELAKSANAAN KURSUS ENGLISH LANGUAGE SKILLS FOR BUSINESS COMMUNICATION UNTUK PEGAWAI GRED 48-52,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,"BAHAGIAN SUMBER MANUSIA, KEWANGAN &AMP; TEKNOLOGI MAKLUMAT",MAJORY SDN BHD,73800.00,PENYERAGAMAN,24/03/2016
"PERKHIDMATAN PENYEDIAAN PAKEJ MESYUARAT, SEWAAN DEWAN DAN BILIK MESYUARAT, MAKAN MALAM DAN PAKEJ INTERNET SEMASA MESYUARAT PEGAWAI-PEGAWAI KANAN EKONOMI ASEAN 2/47 DAN MESYUARAT- MESYUARAT BERKAITAN PADA 4-8 APRIL 2016 DI KUALA LUMPUR",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,"BAHAGIAN SUMBER MANUSIA, KEWANGAN &AMP; TEKNOLOGI MAKLUMAT",BAHAGIA INVESTMENT CORPORATION (MALAYSIA) SDN BHD TRADING AS GRAND HYATT KUALA LUMPUR,191086.79,KEPERLUAN MENDESAK,23/03/2016
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS UNTUK MELAKSANAKAN PROLEHAN BAGI MEMBEKAL SUSU UHT BERPERISA KE SEKOLAH-SEKOLAH RENDAH DI BAWAH PROGRAM SUSU 1MALAYSIA BAGI TAHUN 2016 MULAI 1 JUN 2016 HINGGGA 31 DISEMBER 2016,BEKALAN,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PENGURUSAN SEKOLAH HARIAN,"DUTCH LADY MILK INDUSTRIES BERHAD,SABAH INTERNATIONAL DAIRIES SDN BHD,HYBRID ALLIED SDN. BHD.,KONSUMA SDN. BHD.,THE HOLSTEIN MILK COMPANY SDN BHD",77339664.00,MENDESAK,10/03/2016
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PENYELENGGARAAN MESIN PENGERINGAN BEKU MILLROCK MX85 (FREEZE DRYER) BAGI TEMPOH 1 MEI 2016 HINGGA 31 JULAI 2016,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,INSTITUT PENYELIDIKAN PERHUTANAN MALAYSIA (FRIM),HAKITA ENGINEERING SDN. BHD.,93503.20,SATU PUNCA (PERKHIDMATAN),29/01/2016
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI CADANGAN PEMBINAAN TANGGA BERGERAK (ESCALATOR) DI PASAR SENTRAL WILAYAH PERSEKUTUAN LABUAN (TEMPOH SIAP PROJEK - 15 FEBRUARI 2016),KERJA,KEMENTERIAN WILAYAH PERSEKUTUAN,PERBADANAN LABUAN,MAYSIGN NETWORK SDN. BHD.,1470000.00,"MENDESAK,
PENYERAGAMAN",20/11/2015
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PENYUMBERAN LUAR (OUTSOURCE) PERKHIDMATAN KARDIOLOGI DAN RADIOLOGI,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,HOSPITAL SERDANG,INSTITUT JANTUNG NEGARA SDN. BHD.,8100000.00,"MENDESAK,           SATU PUNCA (PERKHIDMATAN)",12/11/2015
PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PEMBANGUNAN LAMAN WEB TAHUN 2016 DAN 2017 UNTUK LEMBAGA PERINDUSTRIAN NANAS MALAYSIA,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA PERINDUSTRIAN NANAS MALAYSIA (LPNM),ALAM TEKNOKRAT SDN. BHD.,382640.00,KEPAKARAN,09/11/2015
PERMOHONAN KHAS PEROLEHAN SECARA RUNDINGAN TERUS MELALUI PEGAWAI PENGAWAL BAGI MENAIK TARAF DAN MEMBEKAL KEMUDAHAN PENGINAPAN RUMAH TRANSIT (BANGLO PRESINT 10) MENJADIKANNYA RUMAH TETAMU KERAJAAN BAGI TEMPOH LIMA HARI MULAI 11 MAC 2015 HINGGA 18 MAC 2015,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,BAHAGIAN PENGURUSAN HARTANAH (BPH),SHAREPRIME  SDN. BHD.,292000.00,MENDESAK,03/11/2015
"PEROLEHAN PERKHIDMATAN PENYELENGGARAAN APLIKASI DAN PERKAKASAN ""KNOWLEDGE MANAGEMENT SYSTEM"" DENGAN KNOWLEDGE LINK SDN BHD BAGI TEMPOH 3 TAHUN",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,PERTUBUHAN KESELAMATAN SOSIAL (PERKESO),KNOWLEDGE LINK SDN. BHD.,264000.00,Penyeragaman,14/06/2013
PERMOHONAN PEROLEHAN PERKHIDMATAN PEMBANGUNAN DAN PELAKSANAAN SISTEM PEMPROFAILAN PEMBAYARAN CUKAI 360-DEGREE DI LEMBAGA HASIL DALAM NEGERI MALAYSIA SECARA RUNDINGAN TERUS DENGAN PRISMA KHAS SDN. BHD. UNTUK TEMPOH 3 TAHUN 11 BULAN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),PRISMA KHAS SDN. BHD.,3500000.00,Penyeragaman,13/06/2013
PERMOHONAN PEROLEHAN PERKHIDMATAN PEMBANGUNAN DAN PELAKSANAAN SISTEM PEMPROFAILAN PEMBAYAR CUKAI 360-DEGREE DI LEMBAGA HASIL DALAM NEGERI MALAYSIA SECARA RUNDINGAN TERUS DENGAN PRISMA KHAS SDN. BHD. UNTUK TEMPOH 3 TAHUN 11 BULAN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),PRISMA KHAS SDN. BHD.,3500000.00,Penyeragaman,13/06/2013
MEMOHON KELULUSAN PEROLEHAN CENDERAHATI BERBENTUK JAM TANGAN PESARA WARGA JABATAN KASTAM DIRAJA MALAYSIA UNTUK TAHUN 2013 (PEMBEKALAN ONE OFF),BEKALAN,KEMENTERIAN KEWANGAN,JABATAN KASTAM DIRAJA MALAYSIA,BINTANG EKUITI SDN. BHD.,82460.00,Keperluan Mendesak,12/06/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI MELAKSANAKAN KERJA-KERJA PENAMBAHBAIKAN APLIKASI SISTEM PORTAL E-NELAYAN SELARAS DENGAN PENINGKATAN PERISIAN-PERISIAN SERVER DARI TEKNOLOGI 32BIT KEPADA 64BIT DENGAN EBI RESOURCES SDN BHD.,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA KEMAJUAN IKAN MALAYSIA (LKIM),EBI RESOURCES SDN. BHD.,300000.00,Penyeragaman,05/06/2013
KERJA-KERJA MENAIK TARAF GELANGGANG TENIS DI KOMPLEKS SUKAN NEGERI PERLIS (REKA DAN BINA),KERJA,PENTADBIRAN KERAJAAN NEGERI PERLIS,JABATAN KERJA RAYA NEGERI PERLIS,PADANG BOHOR JAYA SDN.BHD.,1990000.00,Keperluan Mendesak,28/05/2013
PERMOHONAN KELULUSAN KHAS BAGI PELANTIKAN UNIVERSITI MALAYSIA SABAH (UMS) SEMPENA PROGRAM PERTANDINGAN DEBAT PERPADUAN JPNIN TAHUN 2013 SECARA RUNDINGAN TERUS,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN PERPADUAN NEGARA DAN INTEGRASI NASIONAL,UNIVERSITI MALAYSIA SABAH,95915.00,Keperluan Mendesak,27/05/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PEMBELIAN I2 ANALYST NOTEBOOK UNTUK KPDNKK,BEKALAN,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",BAHAGIAN PENGUATKUASA,PRISMA KHAS SDN. BHD.,64500.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),22/05/2013
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PENYELENGGARAAN PERALATAN DAN TERMINAL GOVERNMENT INTEGRATED RADIO NETWORK (GIRN)KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN (KPDNKK) DENGAN SAPURA RESEARCH SDN. BHD.",PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",BAHAGIAN PENGUATKUASA,SAPURA RESEARCH SDN. BHD.,406334.00,SATU PUNCA (PERKHIDMATAN),22/05/2013
PERMOHONAN RUNDINGAN TERUS BAGI PERKHIDMATAN INTERPRETASI SERENTAK PERSIDANGAN GLOBAL SUMMIT OF WOMEN 2013,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PEMBANGUNAN WANITA, KELUARGA DAN MASYARAKAT",,INSTITUT TERJEMAHAN NEGARA MALAYSIA BERHAD,290250.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),13/05/2013
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS UNTUK PRODUK SUSU KHAS (MEDICAL FOOD) BAGI PESAKIT METABOLIK (INBORN ERRORS OF METABOLISM) UNTUK JABATAN DIETETIK DAN SAJIAN, HOSPITAL KUALA LUMPUR BAGI TEMPOH DUA (2) TAHUN (14 MAC 2016 - 13 MAC 2018)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,TIADA AGENSI,PRIMABUMI SDN. BHD.,2374325.60,"MENDESAK,
KEPAKARAN",23/10/2015
PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI MELANTIK PENGENDALI KURSUS MALAYSIAN PUBLIC SECTOR ACCOUNTING STANDARDS (MPSAS) MULAI 16 HINGGA 19 NOVEMBER 2015 DAN 1 HINGGA 4 DISEMBER 2015.,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN AUDIT NEGARA,MALAYSIAN INSTITUTE OF ACCOUNTANTS,67755.20,KEPAKARAN,20/10/2015
PERMOHONAN KELULUSAN KHAS BAGI PELANTIKAN KONTRAKTOR SYARIKAT SAHARIL HOLDINGS SDN BHD - SECARA RUNDINGAN TERUS UNTUK MENJALANKAN KERJA-KERJA PENYEDIAAN INFRA DI JABATAN PEGUAM NEGARA BAGI TEMPOH SELAMA ENAM  BULAN MULAI 2 MAC 2015 HINGGA 1 OGOS 2015,KERJA,JABATAN PERDANA MENTERI,JABATAN PEGUAM NEGARA,SAHARIL HOLDINGS SDN. BHD.,160000.00,"MENDESAK, KEPAKARAN",02/10/2015
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS PERKHIDMATAN SOKONGAN KLINIK (PSK) BAGI 10 BUAH KLINIK KESIHATAN MALAYSIA DI NEGERI PAHANG,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,KEMENTERIAN KESIHATAN MALAYSIA,PRODUKTIF KUALITI MEDICAL SUPPLY SDN. BHD.,23136764.78,"MENDESAK,
KEPAKARAN",23/09/2015
PERMOHONAN RUNDINGAN TERUS BAGI PEROLEHAN PENGGANTIAN PERALATAN ICT BAGI PREMIS-PREMIS DI BAWAH KEMENTERIAN PENDIDIKAN MALAYSIA YANG TERJEJAS AKIBAT BANJIR DI NEGERI KELANTAN DAN PAHANG,BEKALAN,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PEROLEHAN DAN PENGURUSAN ASET,KOMPUTER SISTEM (M) SDN. BHD.,8031447.00,MENDESAK,22/09/2015
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PEMBELIAN REAGENT PROJEK ASPIRIN RESISTANIE IN ISHAEMIE STROKE STUDY (ARRIS),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,KEMENTERIAN KESIHATAN MALAYSIA,HARMONI PRIME MEDIKA PTE LTD,168000.00,"SATU PUNCA (BEKALAN),             SATU PUNCA (PERKHIDMATAN)",18/09/2015
KONTRAK PERKHIDMATAN PENYELENGGARAAN PERALATAN ULTRASOUND SYSTEM SECARA RUNDINGAN TERUS DENGAN SYARIKAT PHILPS MALAYSIA SDN. BHD. BAGI TEMPOH TIGA TAHUN MULAI 1 APRIL 2015 HINGGA 31 MAC 2018,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENGAJIAN TINGGI,PUSAT PERUBATAN UNIVERSITI MALAYA (PPUM),PHILIPS MALAYSIA SDN. BHD.,3355000.00,KEPAKARAN,02/09/2015
PERMOHONAN KELULUSAN SECARA RUNDINGAN TERUS UNTUK KERJA-KERJA PENGUBAHSUAIAN BANGUNAN R&R SUNGAI RAMBAI KEPADA RTC MELAKA DENGAN TEMPOH SIAP SELAMA 8 MINGGU MULAI SEPTEMBER 2015 HINGGA DISEMBER 2015,KERJA,KEMENTERIAN KEWANGAN,UNIT STRATEGI NASIONAL  (NSU),PREMIUM MAJU SDN. BHD.,2550000.00,MENDESAK,20/08/2015
"PERMOHONAN KELULUSAN PEROLEHAN PERKHIDMATAN DAN PEMBAIKAN ALAT NUCLEAR MAGNETIC RESONANCE (NMR)SYSTEM DRX300 SECARA RUNDINGAN TERUS BAGI INSTITUT PENYELIDIKAN PERHUTANAN MALAYSIA (FRIM) KEPONG, SELANGOR UNTUK TEMPOH DUA BULAN MULAI 4 JANUARI 2016 HINGGA 3 MAC 2016",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,INSTITUT PENYELIDIKAN PERHUTANAN MALAYSIA (FRIM),ALPHA INSTRUMENTS SUPPLIES & SERVICES SDN. BHD.,56129.93,"SATU PUNCA (PERKHIDMATAN)
KEPAKARAN",13/08/2015
PERMOHONAN KELULUSAN BAGI PEROLEHAN SECARA RUNDINGAN TERUS SEBAGAI PENYEDIA LATIHAN BAGI MENGENDALIKAN PROGRAM TEACH FOR MALAYSIA (TFM) FASA II UNTUK KEMENTERIAN PENDIDIKAN MALAYSIA SELAMA LIMA (5) TAHUN MULAI 1 JANUARI 2016 HINGGA 31 DISEMBER 2020,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PEROLEHAN DAN PENGURUSAN ASET,TFM FOUNDATION,19620600.00,"PENYERAGAMAN,
KEPAKARAN",11/08/2015
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI CADANGAN MENAIK TARAF SISTEM AUDIO DAN VISUAL DI BILIK MESYUARAT JEMAAH MENTERI,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,,IRIS CORPORATION BERHAD,1476650.00,Keperluan Mendesak,10/05/2013
PERMOHONAN CADANGAN PROJEK PENINGKATAN KEUPAYAAN SISTEM TALIAN INTERNET PROTOCOL VIRTUAL PRIVATE NETWORK (VPN) DAN PERALATAN INTELLIGENT BANDWITH MANAGEMENT SYSTEM (IBMS) SECARA PERKHIDMATAN TERURUS (MANAGED SERVICES) UNTUK TEMPOH 3 TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),TELEKOM MALAYSIA BERHAD,79000000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",10/05/2013
PERMOHONAN KELULUSAN SECARA RUNDINGAN TERUS BAGI THE SENIOR EXECUTIVE PROGRAMME OLEH ASIAN INSTITUTE OF MANAGEMENT (MIA) PHILIPHINES,PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN AUDIT NEGARA,ASIAN INSTITUTE OF MANAGEMENT,200000.00,"Kepakaran, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",09/05/2013
"PERMOHONAN KELULUSAN KHAS UNTUK CADANGAN PENAMBAHAN SKOP PERKHIDMATAN PENYELENGGARAAN BAGI SERVER, SISTEM PENGOPERASIAN, SISTEM APLIKASI & RANGKAIAN DI INSTITUSI PENILAIAN NEGARA (INSPEN)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN PENILAIAN DAN PERKHIDMATAN HARTA (JPPH),NEW CORE SDN. BHD.,103500.00,Penyeragaman,07/05/2013
PERMOHONAN PEROLEHAN PROJEK PEMBANGUNAN SISTEM E-KEWANGAN FASA 2 DI LEMBAGA HASIL DALAM NEGERI MALAYSIA,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,836000.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",25/04/2013
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI 2 PERALATAN PERUBATAN:-
I.  ALAT MAGNETIK RESONANCE IMAGING SYSTEM 1.5 TESLA (WIDE BORE PREMIUM) JENAMA PHILIPS INGENIA 1.5T; DAN
II.   ALAT COMPUTED TOMOGRAPHY SUITE AND ASSOCIATED WORKS (MAIN CT SCAN) JENAMA PHILIPS BRILLIANCE ICT SP

UNTUK KEGUNAAN JABATAN PENGIMEJAN DIAGNOSTIK, HOSPITAL KUALA LUMPUR DENGAN SYARIKAT ADVANCE ALTIMAS SDN BHD.",BEKALAN,KEMENTERIAN KESIHATAN,HOSPITAL KUALA LUMPUR,ADVANCE ALTIMAS SDN.BHD.,13496080.00,"Keperluan Mendesak, Kepakaran",24/04/2013
PERMOHONAN KELULUSAN PEROLEHAN PEMBANGUNAN SISTEM INTEGRATED HUMAN RESOURCE (IHRS) OLEH LHDN UNTUK PEMBANGUNAN SELAMA 17 BULAN DAN PERLINDUNGAN PENYELENGGARAAN (COMPREHENSIVE SUPPORT PROGRAM) UNTUK TEMPOH 24 BULAN MULAI SELEPAS TEMPOH WARANTI.,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),MYSYSNET SDN. BHD.,18527000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),19/04/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERLANJUTAN KONTRAK PERKHIDMATAN PAKEJ BERITA MELALUI BERNAMA DAILY NEWS UPDATES BAGI TEMPOH 1 JULAI 2013 HINGGA 30 JUN 2016,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,,PERTUBUHAN BERITA NASIONAL MALAYSIA,420000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),18/04/2013
PERMOHONAN KELULUSAN KHAS BAGI PELANTIKAN SECARA RUNDINGAN TERUS PEROLEHAN UNTUK PERKHIDMATAN MEMBANGUNKAN MODUL KURSUS SIJIL HUBUNGAN ETNIK,PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN PERPADUAN NEGARA DAN INTEGRASI NASIONAL,INSTITUT KAJIAN ETNIK,106000.00,"Kepakaran, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",15/04/2013
PERMOHONAN PERKHIDMATAN PENYELENGGARAAN PEMBACA PASPORT DI SEMUA PINTU KELUAR/MASUK JABATAN IMIGRESEN MALAYSIA SECARA RUNDINGAN TERUS DENGAN NERS SDN. BHD.,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN DALAM NEGERI,JABATAN IMIGRESEN MALAYSIA,NERS SDN. BHD.,1905000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",10/04/2013
